List of importing markets for a product exported by Viet Nam Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	
Malta	204	241	506	758	2,120	1,926	1,241	2,810	3,312	3,453	0	19,846	
Marshall Islands	4,143	768	12	0	0	188	0	70,773	27,651	0	0	3,069	
Mauritania	1,149	1,227	524	916	76	0	0	0	0	0	0	10,367	
Mauritius	321	1,106	1,068	1,145	245	0	0	0	7,242	0	9,564	12,634	
Mayotte	62	13	8	0	0	0	0	0	0	0	0	0	
Mexico	44,016	60,485	78,293	127,743	191,535	285,517	360,381	436,442	359,090	488,829	589,749	682,770	
Micronesia (Federated States of)	50	79	150	0	32	0	0	0	0	0	0	0	
Mongolia	1,498	1,220	1,052	1,716	2,406	2,991	5,060	7,463	9,828	0	0	15,634	
Montenegro	0	0	0	0	0	0	0	0	0	1,923	0	0	
Montserrat	0	15	23	25	112	0	0	0	0	0	0	0	
Morocco	1,731	3,034	3,332	8,880	10,860	11,129	27,486	30,222	29,045	28,330	40,488	82,033	
Mozambique	192	25	6,357	12,806	32,557	10,077	10,869	25,357	41,527	32,828	71,666	85,731	
Myanmar	5,360	7,125	12,526	14,015	11,978	16,465	21,811	32,635	33,942	49,521	82,458	117,813	
Namibia	12	17	11	66	899	499	1,641	0	0	1,355	0	0	
Nauru	314	345	128	83	1	0	836	0	0	0	0	0	
Nepal	300	771	927	1,151	1,621	1,365	1,420	2,211	0	2,285	0	9,171	
Netherland Antilles	1,994	3,155	0	0	284	0	0	0	0	0	0	0	
Netherlands	364,542	404,252	492,990	581,911	659,166	857,431	1,182,132	1,577,432	1,355,633	1,688,312	2,147,980	2,476,218	
New Caledonia	402	354	414	1,209	1,191	2,112	1,510	3,823	3,478	7,749	10,610	8,925	
New Zealand	18,492	21,186	24,973	46,853	47,494	54,134	67,051	76,642	70,504	122,645	151,377	183,981	
