List of importing markets for a product exported by Peru Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	
Madagascar	539	302	356	508	614	1,631	1,139	778	1,174	237	237	366	
Malawi	0	1	0	0	0	0	7	0	0	5	35	8	
Malaysia	14,766	9,328	5,511	12,401	8,951	7,176	3,889	9,630	9,112	8,475	6,547	27,685	
Maldives	0	0	0	0	0	0	0	0	0	0	0	0	
Mali	1,444	1,273	1,360	1,194	1,076	2,285	2,199	1,471	514	410	125	53	
Malta	47	161	67	135	142	128	189	127	92	39	180	215	
Marshall Islands	0	0	0	0	9	0	0	0	0	0	0	0	
Mauritania	0	44	701	3,609	159	265	1,782	2,471	676	515	1,529	155	
Mauritius	1,000	515	299	515	347	591	396	419	302	437	571	884	
Mayotte	0	0	0	12	0	0	16	0	45	0	0	0	
Mexico	127,904	129,739	108,077	229,057	332,060	390,443	269,966	298,745	242,505	286,132	451,841	415,894	
Micronesia (Federated States of)	15	0	70	0	0	163	181	22	0	0	318	93	
Mongolia	0	0	0	0	3	0	0	0	0	0	0	0	
Montenegro	0	0	0	0	0	0	0	30	0	25	0	0	
Montserrat	99	22	0	16	0	0	2	0	0	0	75	0	
Morocco	848	359	297	1,412	2,158	4,649	26,412	23,164	3,739	34,850	20,577	24,588	
Mozambique	55	0	8	0	78	119	611	617	0	213	215	218	
Myanmar	0	0	0	0	44	0	0	0	52	307	2,656	317	
Namibia	0	0	0	0	0	0	13	15,464	56,917	201,780	232,655	79,371	
Nauru	0	0	0	0	0	5	0	0	51	0	0	0	
Nepal	77	0	483	234	156	167	0	0	36	0	3	0	
Netherland Antilles	7,974	14,677	1,123	1,651	6,902	10,372	3,657	4,604	3,857	4,326	4,417	54,068	
Netherlands	78,364	150,796	181,559	409,184	534,734	737,821	668,403	788,335	465,976	645,905	845,320	681,944	
Neutral Zone	0	9	0	0	0	0	8	0	0	0	0	0	
New Caledonia	553	343	165	1,019	821	337	1,443	2,445	730	991	74	570	
New Zealand	1,977	3,193	3,720	6,242	5,634	7,616	11,114	12,603	12,106	13,602	18,363	25,817	
Nicaragua	1,973	3,097	3,055	10,684	4,154	6,175	30,542	9,726	8,978	11,350	17,032	15,173	
Niger	0	0	0	0	0	0	0	0	0	7	77	187	
Nigeria	1,450	1,090	980	2,196	6,568	10,536	13,720	15,269	6,759	1,244	34,231	54,233	
Niue	0	0	0	0	0	0	0	0	0	0	0	0	
Norfolk Island	0	0	0	321	0	0	0	0	0	44	14	26	
Northern Mariana Islands	0	0	222	35	144	24	0	0	0	0	0	0	
