List of importing markets for a product exported by Pakistan Product: TOTAL All products
"Importers"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
New Zealand	31,025	36,695	40,036	35,269	33,131	32,946	28,737	33,695	39,017	38,355	38,831	
Nicaragua	10,232	9,155	10,336	18,397	15,249	13,483	17,500	20,151	17,214	18,631	20,886	
Niger	6,619	11,747	23,771	19,799	9,046	487	1,344	1,712	421	323	724	
Nigeria	88,983	304,148	51,291	33,884	19,445	26,447	36,918	29,768	29,447	35,453	43,639	
Niue	0	2	281	7	0	3	0	6	0	0	162	
Norfolk Island	0	160	435	10	141	28	0	0	0	0	7	
Northern Mariana Islands	0	0	80	0	0	0	0	0	0	0	0	
Norway	26,673	28,728	62,032	46,872	62,945	66,478	43,213	49,279	59,223	43,728	51,043	
Oman	41,893	55,988	51,525	55,119	96,202	292,608	149,009	140,701	184,672	148,056	188,796	
Pakistan	0	0	0	0	0	0	0	0	0	0	0	
Palau	147	106	52	122	20	21	0	0	0	10	0	
Palestine, State of	0	0	847	0	0	0	0	0	0	0	0	
Panama	11,250	11,884	14,308	12,970	11,715	12,023	7,738	10,215	12,000	14,209	10,425	
Papua New Guinea	214	140	133	135	392	367	101	272	170	1,187	342	
Paraguay	1,386	2,134	4,081	2,885	6,015	7,627	5,890	9,593	8,130	3,943	3,890	
Peru	4,721	3,390	5,580	7,640	11,664	15,948	11,880	18,559	29,173	29,280	27,365	
Philippines	23,146	29,179	36,791	54,982	56,909	114,768	62,169	168,203	97,845	91,456	91,814	
Pitcairn	0	0	36	42	0	0	0	0	0	0	13	
Poland	24,617	35,862	40,138	53,385	53,340	55,138	39,732	58,845	76,652	74,158	102,008	
Portugal	83,968	102,935	104,389	149,538	168,762	146,212	123,611	126,498	152,419	109,430	155,112	
Qatar	34,363	37,476	40,345	47,500	94,184	188,874	151,931	110,765	115,372	79,220	78,764	
Republic of Moldova	254	242	118	27	72	84	149	261	151	393	157	
Romania	4,440	5,598	9,888	10,183	16,245	22,824	19,830	25,191	28,732	26,729	22,070	
Russian Federation	16,832	30,906	48,437	66,937	87,081	127,297	88,827	144,337	191,512	186,192	205,510	
Rwanda	711	812	976	1,238	232	178	69	325	193	348	225	
Saint Helena	0	102	0	73	225	0	0	0	0	0	0	
Saint Kitts and Nevis	0	84	3,056	2,664	1	5	3	10	3	0	5	
Saint Lucia	9	1,827	277	221	663	253	283	282	310	320	206	
Saint Vincent and the Grenadines	0	13	9	0	0	16	0	32	45	58	59	
Samoa	11	69	90	27	1	0	0	21	0	4	15	
Sao Tome and Principe	0	0	2	104	106	0	0	13	883	0	2	
Saudi Arabia	469,574	338,933	354,895	309,035	295,509	441,063	425,722	409,046	420,178	455,632	494,059	
Senegal	6,980	8,230	4,693	7,936	5,629	23,632	10,277	29,370	35,212	28,626	34,071	
Serbia	0	0	0	1,472	524	547	1,071	1,570	2,254	5,454	3,807	
Serbia and Montenegro	849	556	1,863	0	0	0	0	0	0	0	0	
Seychelles	534	202	364	1,201	907	1,878	3,068	2,308	1,695	2,675	2,353	
Sierra Leone	252	1,773	8,933	12,591	21,554	1,205	21,852	17,271	27,041	27,287	22,470	
Singapore	137,804	82,151	32,413	56,725	61,570	47,786	45,094	71,602	65,386	59,371	86,271	
Slovakia	1,438	1,392	1,481	2,764	2,382	2,961	2,683	8,313	17,088	9,699	3,501	
Slovenia	2,419	3,894	6,653	6,887	8,532	10,331	9,829	10,573	22,157	22,427	37,228	
Solomon Islands	0	36	4	0	43	0	31	0	34	11	9	
Somalia	4,373	3,772	2,986	4,552	3,512	22,203	65,544	61,013	79,613	65,308	63,255	
South Africa	114,737	151,540	221,684	294,361	275,992	280,938	191,063	254,570	284,551	271,271	289,177	
Spain	268,181	322,128	386,098	476,320	486,602	491,046	406,645	474,138	569,713	503,524	602,477	
Sri Lanka	83,529	134,715	153,662	177,595	208,573	216,720	216,963	283,870	347,722	300,904	316,382	
St. Pierre and Miquelon	0	0	1	113	0	0	21	0	246	0	3	
Sudan (North + South)	11,554	15,979	24,087	21,450	36,455	52,624	84,553	66,635	49,836	54,481	82,595	
Suriname	145	596	308	421	834	587	161	479	676	677	548	
Swaziland	701	572	840	1,976	452	795	1,056	587	182	224	118	
Sweden	62,916	79,781	84,723	93,320	96,249	102,108	76,650	106,387	104,590	97,444	113,687	
Switzerland	26,403	29,931	34,915	31,446	18,944	20,993	14,005	15,728	12,588	14,498	12,890	
Syrian Arab Republic	21,179	24,432	6,413	8,812	11,377	18,693	19,599	14,896	13,308	11,857	21,886	
Taipei, Chinese	58,607	68,562	51,236	69,668	72,801	76,588	99,798	160,453	173,666	86,815	175,910	
Tajikistan	236	341	1,519	472	240	274	975	688	623	3,104	10,287	
Tanzania, United Republic of	21,253	13,780	15,439	18,894	25,509	34,206	39,418	44,603	62,410	96,930	137,396	
Thailand	69,275	61,262	90,839	61,205	71,159	88,251	93,738	80,901	109,389	109,363	117,424	
Timor-Leste	247	315	251	571	0	0	0	0	13	0	4	
Togo	6,418	11,563	58,522	31,292	15,647	24,036	19,730	28,340	20,730	34,681	15,894	
Tokelau	0	8	136	219	0	3	0	0	0	0	0	
Tonga	623	1,042	1,335	2	121	42	1	0	0	19	7	
Trinidad and Tobago	408	1,340	1,017	1,663	5,355	5,368	4,528	3,401	3,269	4,076	4,463	
Tunisia	12,674	14,645	11,667	10,093	10,136	17,914	11,889	17,958	26,391	20,211	26,368	
Turkey	200,271	219,403	299,480	339,173	446,266	470,878	407,121	644,119	755,914	416,037	406,962	
Turkmenistan	1,622	945	984	763	1,408	630	588	1,506	1,075	1,326	2,420	
Turks and Caicos Islands	460	116	507	184	0	122	0	0	23	0	0	
Tuvalu	323	0	54	0	0	0	0	0	0	3	0	
Uganda	8,227	9,397	3,654	6,531	6,434	3,125	16,159	2,673	2,027	3,956	1,850	
Ukraine	7,447	14,134	30,992	26,675	33,121	48,198	26,956	66,524	85,179	78,920	81,152	
United Arab Emirates	1,121,667	1,057,730	1,256,776	1,241,818	2,114,709	2,009,811	1,538,588	1,834,906	1,920,961	2,872,869	1,775,143	
United Kingdom	842,309	968,988	907,496	935,871	967,379	1,000,423	942,610	1,113,869	1,258,789	1,247,437	1,431,956	
United States Minor Outlying Islands	5	59	50	19	936	773	44	6	48	127	48	
United States of America	2,751,521	3,122,121	3,979,485	4,343,424	3,853,467	3,653,923	3,220,948	3,674,481	3,839,158	3,668,507	3,746,252	
Uruguay	2,447	2,330	2,602	4,293	5,202	9,642	7,015	12,314	13,975	18,358	18,975	
Uzbekistan	3,296	3,058	2,265	2,090	2,731	2,546	2,113	2,733	3,513	3,983	3,460	
Vanuatu	0	0	67	0	0	0	0	3	0	0	53	
Venezuela	3,563	10,171	16,001	20,723	28,623	23,547	15,678	43,924	24,105	24,060	14,756	
Viet Nam	19,637	31,632	35,700	33,106	54,973	67,206	91,674	129,118	237,543	307,416	262,559	
Wallis and Futuna Islands	0	0	38	205	21	0	0	1	0	0	0	
Western Sahara	74	95	0	4	77	2	6	18	5	2	8	
Yemen	52,689	55,916	58,487	53,047	97,201	92,284	97,817	92,883	154,342	92,701	137,733	
Zambia	3,265	3,437	2,856	1,808	537	647	696	493	967	781	772	
Zimbabwe	2,183	3,553	2,860	1,232	2,578	1,289	3,465	4,631	5,272	4,971	5,881	
